symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
MSFT,A02_ema_distance_20,trend,False,-0.02924747932473243,0.16666666666666666,0.4914528759856553,0.4340223526624401,0.04701720384169243,-0.10134290933082668,2492,251,False,False,True,True,True,True,True
MSFT,A02_ema_distance_50,trend,False,-0.018988215658448125,0.16666666666666666,0.35798783832030406,0.26410583496278583,0.02532624596928264,0.340929647661831,2462,251,False,False,True,True,True,True,True
MSFT,A02_ema_distance_100,trend,False,-0.027095115641044366,0.0,0.3922444459257796,0.22713742231872497,0.013823313595197543,0.7122637127136094,2412,251,False,False,True,True,True,True,True
MSFT,A03_donchian_breakout_20,trend,False,-0.07647541098181593,0.16666666666666666,0.8314664403003668,0.7520986027969481,0.22279080083943925,-0.18018739131003964,2512,251,False,False,False,False,True,True,True
MSFT,A08_trend_quality,trend,False,-0.009935877023313854,0.5,0.6965459321512404,0.5123750943544432,0.02535628102138584,0.012731587673860144,2452,251,False,False,False,True,True,True,True
MSFT,A09_efficiency_ratio_20,trend,False,-0.014368776856747971,0.0,0.38408174242048543,0.2631260739167798,0.0381767685246939,0.04755079653321763,2491,251,False,False,True,True,True,True,True
MSFT,A04_short_reversion_1,mean_reversion,False,0.06611483470849182,0.8333333333333334,0.5538136514730184,0.28749554228814267,0.14622320142381467,0.05154196198273864,2411,251,True,True,False,True,True,True,True
MSFT,A04_short_reversion_2,mean_reversion,False,0.05662793353413141,0.8333333333333334,0.7221847615594642,0.3164168231251428,0.09952179208836964,0.43739825818128863,2410,251,True,True,False,True,True,True,True
MSFT,A04_short_reversion_3,mean_reversion,True,0.04247353505723708,0.6666666666666666,0.39977780929175977,0.18995618997452102,0.08095543649033222,0.3143115529337555,2409,251,True,True,True,True,True,True,True
MSFT,A04_short_reversion_6,mean_reversion,True,0.033086849680248706,0.6666666666666666,0.38059592483905685,0.20178277201161793,0.056316376535387604,0.31895449685900185,2406,251,True,True,True,True,True,True,True
MSFT,A05_bollinger_reversion_20,mean_reversion,True,0.03954751265939786,0.6666666666666666,0.3771439208301811,0.17873254303661928,0.04834180826900646,0.6472263836626405,2492,251,True,True,True,True,True,True,True
